BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
Oxford PureWater,BWE-08,7.58,325,178,20,12.378,50,50,48,50,0.23,1.0,0.9,31,2.0,1
Hi-Fresh,BWE-09,6.60,238,130,28,2,80,30,45,17,0.12,1.186,0.4,28,2.0,1
Secure Life,BWE-10,6.93,381,209,36,15,150,120,36,29,0.14,3.4,0.6,29,2.0,1
Natural PureLife,BWE-11,6.50,272,149,40,5,120,40,72,9,0.15,1.186,0.947,8,2.0,1
Arwafina,BWE-12,6.85,414,227,40,17,170,50,121,23,0.10,0.5,0.947,25.989,2.0,1
Doctor Water,BWE-13,7.15,380,209,12,2,40,60,72,74,0.22,1.6,0.1,30,3.05,0
NaturalSpring,BWE-14,6.70,195,107,16,2,50,30,31,17,0.10,2.6,0.2,21,2.0,1
MEZAN,BWE-15,7.10,572,314,40,10,140,210,24,82,0.23,2.2,0.3,52,0.2,0
AFRA,BWE-16,7.15,505,277,36,5,110,40,36,11,0.28,4.3,0.947,27,0.2,1
Zindagi Plus,BWE-17,7.05,430,236,36,10,130,110,20,33,0.31,13.0,1.8,60,0.2,0
Aab-eMuskan,BWE-18,6.70,303,166,8,2,30,30,70,58,0.25,1.7,0.3,19,0.2,0
Salsabeel,BWE-19,6.85,266,146,28,12,120,30,65,11,0.21,0.8,0.947,18,0.5,1
HISPAR,BWE-20,7.25,121,65,16,2,50,30,27,7,0.12,0.2,0.947,25.989,0.3,1
Aab-e-Dubai,BWE-21,7.02,283,155,20,2,60,20,60,35,0.24,0.4,3.5,22,0.2,1
MEHRAN,BWE-22,7.15,302,166,36,12.378,90,40,58,28,0.28,0.2,0.947,33,0.5,1
JEL,BWE-23,6.82,267,146,8,2,30,10,72,49,0.25,0.4,0.947,14,0.2,1
Gourmet,BWE-24,7.20,398,218,40,7,130,60,75,36,0.24,1.186,0.947,30,0.2,1
C-Life,BWE-25,7.20,371,204.,40,12,150,50,85,15,0.211,0.5,0.947,14,0.3,1
MARVI,BWE-26,7.06,242,133,32,2,90,20,55,17,0.211,1.186,0.947,23,0.4,1
NFS,BWE-27,6.65,345,189,28,12.378,70,50,60,48,0.211,3.2,2.0,24,2.0,1
Pak Aqua,BWE-28,7.55,291,160,32,12.378,80,20,65,31,0.21,0.7,0.8,26,1,1
THANDANI,BWE-29,7.25,351,291,32,10,120,30,82,21,0.13,0.2,0.7,17,1.3,1
Al-SHIFA,BWE-30,7.33,402,221,28,12,120,60,72,42,0.14,1.186,2.7,34,2.0,1
CHENAB,BWE-31,6.70,433,238,40,12,150,20,94,25,0.211,0.4,3.2,50,0.3,1
MUMNatural,BWE-32,6.68,242,133,8,5,40,50,30,41,0.211,2.1,0.947,29,0.4,1
Nation Pure,BWE-33,6.65,391,215,40,12,150,50,82,25,0.211,0.5,0.947,26,4.3,1
Pure Nature,BWE-34,7.05,368,202,40,10,140,50,82,24,0.16,2.71,1.36,28,23,0
Lasani,BWE-35,6.38,228,125,36,5,110,15,72,6,0.211,1.186,0.3,25.989,0.5,1
INDUS,BWE-36,6.52,225,123,28,5,90,20,72,13,0.211,1.186,0.4,25.989,2.0,1
Rare DewDrops,BWE-37,6.80,374,205,40,12,150,30,72,15,0.211,0.3,0.947,39,3,1
Water Next,BWE-38,6.52,357,196,40,7,130,40,65,24,0.211,1.186,0.947,41,2.5,1
Life,BWE-39,6.65,337,185,32,12,130,60,52,30,0.211,0.2,0.947,33,2.5,1
NESS Pak,BWE-40,6.55,287,157,20,10,90,60,48,24,0.211,4.4,0.2,5,2,1
Seven Springs,BWE-41,6.40,152,83,16,7,70,30,18,4,0.211,1.6,0.5,25,0.3,1
Vividle,BWE-42,6.90,345,189,28,17,140,50,82,15,0.211,0.4,0.947,21,0.2,1
SUJO,BWE-43,7.10,328,180,40,12,150,30,86,9,0.211,0.4,0.947,18,0.2,1
Himalaya,BWE-44,7.10,427,234,40,10,140,110,80,17,0.211,0.2,0.947,25,0.3,1
Nestle,BWE-45,6.55,447,245,48,17,190,40,110,13,0.211,1.186,0.947,28,2.0,1
More Plus,BWE-46,6.60,200,110,20,12.378,50,20,48,24,0.211,3.6,2.5,4,2.0,1
Fit Water,BWE-47,7.20,365,200,20,12,100,140,15,38,0.211,0.2,0.1,33,2.0,1
OSLO,BWE-48,7.02,524,288,28,15,130,90,82,50,0.12,3.5,1.3,40,2.0,1
AD Aqua,BWE-49,7.22,260,143,24,12,110,70,35,14,0.10,0.5,0.2,28,2.0,1
Dasani,BWE-50,6.88,283,155,20,15,110,18,30,10,0.20,1.186,0.947,68,2.0,1
MAA JEE,BWE-51,7.28,231,127.,8,15,80,50,28,18,0.30,1.5,2.1,21,2.0,1
Crystal Blue,BWE-52,6.71,230,126,16,2,50,40,28,28,0.10,2.5,1.8,29,0.2,1
Refine,BWE-53,6.70,552,303,24,15,120,100,90,70,0.14,2.2,1.8,41,3.05,0
Pure Lite,BWE-54,6.60,606,333,28,12,120,80,110,74,0.24,2.4,2.0,51,0.2,0
Pure Life,BWE-55,6.57,487,267,40,17,170,70,75,29,0.13,1.8,2.3,46,0.3,1
AquaFina,BWE-56,6.60,239,131,28,12.378,70,40,28,18,0.21,0.9,0.947,35,0.2,1
New Buxton,BWE-57,6.56,455,268,36,12,140,90,65,38,0.13,0.9,1.6,40,0.3,1
Pearl,BWE-58,6.66,267,146,8,12,70,50,42,29,0.211,0.9,0.2,26,0.2,1
HimalayaCool,BWE-59,6.51,441,242,40,5,120,100,30,41,0.211,2.7,0.947,63,0.2,1
Star,BWE-60,6.65,202,111,12,2,40,60,14,32,0.211,1.3,0.947,23,0.3,1
ARSH Drops,BWE-61,6.69,344,189,24,12,110,80,16,25,0.211,2.0,4.3,49,0.2,1
New Fresh,BWE-62,7.28,333,183,36,7,120,70,55,25,0.211,1.186,0.947,23,0.2,1
Life,BWE-63,7.04,372,204,28,7,100,80,72,39,0.211,0.2,0.947,15,0.2,1
Ab-e-Hayat,BWE-64,6.78,602,331,40,15,160,180,60,70,0.16,1.1,3.1,37,0.2,0
AquaHygienic,BWE-65,6.87,336,184,40,10,140,40,75,13,0.211,1.186,3.0,15,0.2,1
EVO Aqua,BWE-66,6.58,407,223,40,12,150,80,60,30,0.211,0.6,0.947,36,0.2,1
MurreeSparkletts,BWE-67,7.34,383,210,40,15,160,60,75,18,0.211,1.0,2.7,18,0.3,1
Freshin,BWE-68,7.24,383,210,40,17,170,150,25,14,0.211,1.186,0.947,15,2.0,1
Al-Baraka,BWE-69,6.55,250,137,32,5,100,30,36,15,0.211,1.0,0.947,40,2.0,1
Freshley,BWE-70,6.56,322,177,36,12,140,50,65,16,0.211,0.6,0.2,26,2.0,1
Calci Dew,BWE-71,6.54,422,232,40,5,120,130,44,48,0.211,0.6,0.8,11,2.0,1
Maple Plus,BWE-72,7.43,468,257,40,22,190,170,26,20,0.15,1.1,3.1,20,2.0,1
ElovinaWater,BWE-73,6.91,379,208,40,17,170,140,20,17,0.211,0.8,2.1,28,0.2,1
Springley,BWE-74,7.48,576,316,40,34,240,150,72,23,0.21,1.3,2.3,28,0.3,1
Drink It,BWE-75,7.04,425,233,40,12,150,80,65,25,0.25,0.4,0.8,26,0.5,1
Aquantis,BWE-76,7.83,410,225,40,15,160,120,28,15,0.25,1.4,2.5,26,0.4,1
Safa Plus,BWE-77,7.79,348,191,40,7,130,70,55,26,0.24,0.2,1.3,27,0.2,1
K&S,BWE-78,7.37,412,226,40,10,140,70,62,22,0.21,0.2,0.8,34,0.2,1
SOLONEY,BWE-79,7.06,348,191,40,7,130,70,55,26,0.26,0.2,1.3,27,0.6,1
Gullfoss,BWE-80,7.32,408,224,40,22,180,80,72,14,0.15,0.2,0.947,30,0.4,1
MarwaWater,BWE-81,7.12,416,228,36,5,120,100,48,48,0.13,0.5,1.4,34,2.0,1
WaterEmpire,BWE-82,7.01,322,177,40,32,230,80,16,19,0.14,0.8,2.5,20,2.0,1
Pacific Pure,BWE-83,6.96,407,223,40,32,230,70,60,13,0.18,0.7,0.9,26,0.2,1
Al-MENA,BWE-84,7.70,339,186,28,19,150,60,65,17,0.17,0.2,0.7,27,2.0,1
Deosai,BWE-85,7.10,412,226,36,10,130,90,48,38,0.26,0.7,5.8,28,0.3,1
Aqua Green,BWE-86,7.15,339,186,32,10,120,70,40,28,0.22,0.3,1.6,38,0.4,1
Raffino,BWE-87,6.89,353,194,40,15,160,50,65,13,0.36,0.2,1.0,30,0.6,1
Hydro Plus,BWE-88,7.45,484,266,40,29,220,150,72,19,0.22,1.186,0.947,27,0.2,1
PremiumSpring,BWE-89,6.55,466,256,60,15,210,190,14,17,0.21,0.5,2.7,13,0.5,1
Nectar,BWE-90,7.02,416,228,40,22,190,80,72,9,0.04,0.4,2.0,21,0.6,1
Ora Pure,BWE-91,6.99,373,205,44,10,150,80,65,23,0.14,0.2,1.2,25,0.5,1
Elim,BWE-92,7.62,424,233,40,12,150,70,75,27,0.34,0.5,0.9,25,0.4,1
Venora,BWE-93,7.39,322,177,36,15,150,100,12,20,0.24,0.9,1.2,21,0.3,1
Aqua Stream,BWE-94,7.37,337,185,28,10,110,80,40,29,0.13,0.4,1.5,36,0.5,1
Hydra,BWE-95,7.18,522,287,40,28,200,200,20,20,0.20,0.9,2.2,23,2,1
Sunlay,BWE-96,7.16,523,287,40,24,200,200,20,29,0.20,0.9,2.2,22,2,1
Fresh Life,BWE-97,7.33,406,223,44,15,170,100,55,14,0.22,0.8,0.8,25,0.9,1
Nestol,BWE-98,7.31,339,186,28,10,110,70,48,31,0.10,0.5,1.4,34,0.8,1
OPAL+,BWE-99,6.80,339,186,28,7,100,60,40,29,0.23,0.4,1.5,36,2.0,1
Ripple water,BWE-100,7.35,336,184,28,7,100,60,40,30,0.28,0.4,1.5,33,0.9,1
Aqua SeaWater,BWE-101,7.65,280,154,28,10,110,80,30,16,0.211,0.3,0.947,23,2.0,1
Isberg,BWE-102,6.85,370,203,28,7,100,110,55,38,0.211,1.5,0.947,25.989,0.5,1
Bake Master,BWE-103,7.55,345,189,36,10,130,65,60,14,0.211,1.0,0.947,29,1,1
DazzlingWater,BWE-104,6.64,325,178,28,10,110,70,60,27,0.211,0.5,0.947,21,0.8,1
Aqua Natural,BWE-105,6.75,412,226,40,19,180,200,12,20,0.211,4.5,0.947,25.989,0.7,1
Aqua Royals,BWE-106,6.83,392,215,40,19,180,60,96,9,0.211,0.8,0.947,7,2.0,1
HimalayaSpring,BWE-107,6.90,345,189,40,7,130,70,60,22,0.211,0.8,0.947,24,2.0,1
Ice WELL,BWE-108,6.95,58,31,8,13.16,20,10,8,5,0.16,0.7,1.36,9,3.05,0
Needs Pure,BWE-109,7.08,257,141,24,5,80,80,30,26,0.211,1.3,0.947,18,2.0,1
NaturalWater,BWE-110,7.40,315,173,28,5,90,90,40,33,0.19,0.9,1.36,19,3.05,0
ECO,BWE-111,7.48,507,278,40,12,150,130,60,47,0.18,1.2,0.947,39,2.0,1
Stream,BWE-112,6.94,512,281,40,29,220,180,24,22,0.211,2.0,7.0,21,2.0,1
OXY,BWE-113,7.05,315,173,36,10,130,100,24,13,0.26,1.2,3.6,19,2.0,1
AquaticFresh,BWE-114,7.05,477,262,40,24,200,160,30,21,0.22,1.9,6.2,20,2.0,1
MoyaMineral,BWE-115,7.63,360,198,40,12,150,90,48,18,0.36,1.4,4.5,10,2.0,1
Aquamin,BWE-116,6.94,324,178,36,2,100,60,55,31,0.22,0.5,1.0,24,2.0,1
BREATHE,BWE-117,6.91,310,170,36,12.378,90,50,60,26,0.21,1.4,3.6,25.989,2.0,1
NEBRASKA,BWE-118,7.00,376,206,40,15,160,50,80,10,0.04,0.5,0.7,24,2.0,1
Top Up,BWE-119,7.10,382,210,40,15,160,120,24,18,0.14,1.6,5.0,21,3.05,0
Aqua PureSmart,BWE-120,7.20,431,237,40,19,180,50,96,16,0.34,0.3,0.7,22,2.0,1
Sabil,BWE-121,7.38,396,217,40,17,170,120,24,19,0.24,1.6,6.3,23,2.0,1
Aqua Splash,BWE-122,7.62,373,205,4,36,160,50,82,15,0.13,0.8,3.7,15,2.0,1
AB-e-Khyber,BWE-123,6.56,324,178,36,7,120,100,16,16,0.34,1.4,5.0,20,2.0,1
Marina Pure,BWE-124,7.17,394,216,40,17,170,130,20,14,0.32,1.2,3.1,27,2.0,1
Aqua Drink,BWE-125,7.33,409,224,40,19,180,130,20,17,0.22,1.6,5.9,26,2.0,1
Aqua Dore,BWE-126,6.75,328,180,24,17,130,90,24,15,0.10,1.3,3.2,34,2.0,1
NaturalAQWAHWater,BWE-127,6.55,322,177,36,10,130,90,16,14,0.23,1.3,4.3,25,2.0,1
Geo Life,BWE-128,6.70,351,193,20,12,100,50,82,32,0.28,0.7,3.2,25.989,2.0,1
Hidrade,BWE-129,6.79,237,130,8,7,50,30,48,29,0.28,3.9,3.2,11,2.0,1
Aqua Best,BWE-130,7.01,165,90,8,2,30,30,25,23,0.30,1.6,0.947,16,2.0,1
Jia,BWE-131,6.90,263,144,8,7,50,40,65,40,0.22,0.9,0.2,7,2.0,1
Culligan,BWE-132,6.58,285,156,32,7,110,40,75,8,0.30,6.8,0.2,25.989,0.87,1
Douro,BWE-133,6.52,660,363,32,19,160,200,75,76,0.30,2.8,0.8,25,0.87,0
Orish,BWE-134,6.59,386,212,12,12,80,40,75,48,0.23,0.6,0.9,33,0.95,1
Aqua Health,BWE-135,6.78,331,182,16,12,90,40,60,35,0.211,1.7,0.1,34,2.0,1
Aqua Sharav,BWE-136,6.55,318,174,32,10,120,40,60,15,0.22,0.4,0.3,31,2.0,1
Spring FreshLife,BWE-137,6.78,262,144,12,17,100,40,45,16,0.211,0.2,0.3,35,2.0,1
Zimal,BWE-138,6.71,404,222,8,10,60,50,72,64,0.10,0.6,2.1,27,3.05,0
Blue Plus,BWE-139,6.56,430,236,20,12,100,60,85,48,0.20,3.0,1.0,26,2,1
Aqua Star,BWE-140,7.28,374,205,20,12,100,50,96,37,0.16,1.8,1.6,32.14,0.8,0
JEL,BWE-141,7.22,422,232,8,17,90,40,110,62,0.30,0.4,0.7,17,0.8,0
Safa DrinkingWater,BWE-142,7.16,616,338,20,22,140,80,144,80,0.22,6.2,0.3,24,0.8,0
NEO,BWE-143,7.32,282,155,8,10,60,30,45,37,0.30,0.3,1.4,40,2,1
Hibba,BWE-144,6.99,265,145,12,7,60,40,55,32,0.30,2.7,1.4,14,2.0,1
Water Plus,BWE-145,7.30,375,206,8,17,90,80,65,48,0.23,0.3,0.5,24,2.0,1
Oxidano,BWE-146,6.89,242,133,8,5,40,40,36,34,0.211,0.4,1.4,23,0.8,1
Sunlay,BWE-147,6.99,492,270,12,17,100,100,75,72,0.22,2.3,0.5,40,0.9,0
Aqua King,BWE-148,7.57,483,265,20,17,120,120,72,64,0.16,2.2,0.4,35,0.6,0
Blue Spring,BWE-149,6.71,218,119,8,7,50,40,36,29,0.10,4.4,2.0,13,0.5,1
Doctor Water,BWE-150,7.30,602,331,20,27,160,190,60,74,0.10,1.8,0.1,40,0.7,1
Golden Drop,BWE-151,7.47,303,166,16,15,100,80,24,28,0.70,1.3,1.2,35,0.8,1
Aqua Nova,BWE-152,7.25,565,310,32,32,210,160,55,34,0.23,1.8,2.4,37,0.7,1
AFRA,BWE-153,7.22,295,162,28,10,110,90,28,17,0.10,3.4,0.3,25,0.8,1
Chiltan Aqua,BWE-154,7.07,315,173,40,12,150,160,10,9,0.211,0.2,0.1,25.989,0.8,1
AquaHygienic,BWE-155,6.95,319,175,24,17,130,70,55,20,0.211,0.4,0.947,26,0.7,1
Piyaas Plus,BWE-156,7.26,433,238,40,15,160,90,65,21,0.13,3.7,0.947,27,0.8,1
Lasani,BWE-157,6.75,390,214,40,19,180,40,100,11,0.26,3.4,0.947,25,0.5,1
Aqua Shifa,BWE-158,7.44,343,188,36,12,140,70,55,18,0.211,1.186,0.947,28,7.5,1
Hayat,BWE-159,6.53,338,185,40,12,150,90,30,14,0.07,1.186,0.947,39,0.9,1
Pine�o,BWE-160,7.40,447,245,40,17,170,80,72,22,0.13,1.1,0.947,32,2.0,1
Aqua Blue,BWE-161,6.65,428,235,40,19,180,170,16,18,0.211,2.6,0.947,27,2.0,1
Aab-e-Ros,BWE-162,6.60,333,183,40,5,120,60,55,18,0.05,1.186,0.947,28,2.0,1
Fresh Taqwa,BWE-163,6.68,359,197,40,12,150,120,16,14,0.211,0.6,0.947,32,2.0,1
Jami Water,BWE-164,6.90,408,224,40,10,140,100,55,26,0.10,0.5,0.947,25,2.0,1
Abaan,BWE-165,7.00,391,215,40,17,170,90,60,17,0.211,0.3,0.947,33,2.0,1
New AS PureWater,BWE-166,6.90,175,96,12,5,50,20,35,18,0.10,0.5,0.947,18,2.0,1
NU Water,BWE-167,6.90,333,183,40,2,110,60,65,28,0.10,0.2,0.1,21,2.0,1
Al-Haram,BWE-168,6.80,504,277,40,12,150,160,28,45,0.3,2.4,0.3,40,2.0,1
My SmartWater,BWE-169,7.00,313,172,40,5,120,100,20,14,0.23,3.0,0.2,28,2.0,1
Drinklay,BWE-170,7.10,231,147,12,15,90,30,34,15,0.211,1.0,0.947,52,2.0,1
Erie Water,BWE-171,6.8,346,184,40,5,120,35,77,18,0.211,1.0,0.947,22,0.92,1
GourmetWater,BWE-172,7.0,341,191,28,10,110,60,59,25,0.211,1.0,0.947,32,1.2,1
Aqua One,BWE-173,7.0,265,156,24,10,100,45,49,17,0.211,1.186,0.947,29,2.0,1
Pure Flo,BWE-174,7.0,510,281,60,7,180,70,111,28,0.211,1.0,0.947,32,0.63,1
Doce Water,BWE-175,6.8,326,189,36,7,120,40,63,19,0.211,0.2,0.947,40,2.0,1
Aqua Amanzi,BWE-176,6.9,405,236,16,17,110,110,33,44,0.211,1.0,0.947,59,0.83,1
Nestle,BWE-177,7.3,410,228,48,7,150,50,92,22,0.211,1.186,0.070,29,0.65,1
Aqua Fina,BWE-178,6.9,198,117,33.41,15,60,20,24,17,0.211,1.0,0.947,48,0.81,1
Dasani,BWE-179,7.0,255,146,33.41,24,100,30,5,10,0.211,0.2,0.947,88,0.84,1
Glacial Water,BWE-180,7.0,283,157,36,2,100,40,63,18,0.211,1.0,0.947,12,1.8,1
Aqua Safe,BWE-181,7.1,405,242,16,15,100,120,41,42,0.16,15.0,0.17,41,3.05,0
CHAMP,BWE-182,7.5,398,225,16,15,100,110,39,38,0.211,10.0,0.947,41,0.72,1
AMFAHH,BWE-183,7.0,264,157,36,2,100,30,68,17,0.211,1.0,0.947,15,2.0,1
Rahat Water,BWE-184,7.1,307,174,24,7,90,60,43,27,0.211,1.0,0.947,36,2.0,1
Spreva,BWE-185,7.0,381,217,48,5,140,40,87,20,0.211,1.0,0.947,32,0.92,1
Marine Blue,BWE-186,7.2,279,161,20,10,90,60,44,24,0.211,1.0,0.947,26,0.61,1
KarakorumFlow,BWE-187,7.0,267,146,12,12,80,50,24,22,0.211,1.186,0.947,46,1.3,1
Sufi,BWE-188,7.3,367,207,40,7,130,50,77,22,0.211,1.0,0.947,30,1.8,1
Safi,BWF-01,6.75,198,109,12,7,60,60,16,17,0.23,1.5,0.5,13,2.0,1
Fresh One,BWF-02,7.05,403,222,40,19,180,70,90,9,0.20,0.7,0.7,25.989,2.0,1
Taiba,BWF-03,7.06,626,344,60,32,280,210,28,16,0.12,2.5,5.3,36,2.0,1
Pak Nest,BWF-04,7.25,658,362,40,36,250,160,72,41,0.26,0.8,0.947,50,2.0,1
IMMA,BWF-05,7.15,357,196,32,10,120,80,40,24,0.24,0.9,0.947,34,2.0,1
Knals,BWF,6.985,6.68,466,256,40,24,200,150,16,15,1.186,0.8,0.9,63,1
DAMAAN,BWF-07,7.10,583,321,60,24,250,180,62,19,0.24,0.7,0.947,31,2.0,1
Springta,BWF-08,7.58,490,270,40,29,220,100,96,12,0.36,1.0,0.947,17,2.0,1
Hi-Fresh,BWF-09,6.60,291,160,36,2,100,60,30,19,0.22,0.7,0.3,33,2.0,1
Natural Water,BWF-10,6.93,386,212,40,19,180,160,12,7,0.45,2.4,0.1,21,2.0,1
Ness Pak,BWF-11,6.50,357,196,40,7,130,90,48,24,0.30,4.4,1.4,14,2.0,1
Secure Life,BWF-12,6.85,461,254,40,16,165,180,16,29,0.22,3.5,0.3,25,2.0,1
Oxford PureWater,BWF-13,7.15,498,274,40,5,120,100,76,60,0.30,1.4,0.6,33,3.05,0
ArwaFina,BWF-14,6.70,445,245,40,12,150,70,90,33,0.30,1.2,0.947,20,2.0,1
Aqua Show,BWF-15,7.10,475,261,10,28,140,120,60,47,0.23,0.8,0.947,28,0.2,1
Vital,BWF-16,7.15,469,258,40,17,170,90,72,30,0.00,1.2,0.947,28,0.2,1
Himalaya Cool,BWF-17,7.05,470,259,32,17,150,140,36,39,0.22,3.0,0.947,34,0.2,1
MINAH,BWF-18,6.70,376,207,40,15,160,130,16,13,0.00,3.4,1.36,26,0.2,0
Sip Up,BWF-19,6.85,565,311,40,5,120,130,60,78,0.10,1.4,3.6,41,0.5,0
New Taste,BWF-20,7.25,495,272,40,12,150,90,76,44,0.26,1.3,0.3,33,0.3,1
Freshley,BWF-21,7.02,390,215,40,15,160,70,72,15,0.22,0.5,0.1,17,0.2,1
MurreeSparkletts,BWF-22,7.15,451,248,40,24,200,180,20,19,0.36,1.1,2.4,14,0.5,1
Freshin,BWF-23,6.82,446,245,40,24,200,90,82,16,0.22,0.3,0.947,15,0.2,1
Clear,BWF-24,7.20,575,316,60,24,250,110,90,16,0.21,0.2,0.947,40,0.2,1
SEAROSE,BWF-25,7.20,571,314,42,28,220,100,40,28,0.04,1.8,0.947,105,0.3,1
Vey,BWF-26,7.06,363,200,40,12,150,60,64,20,0.14,1.4,0.947,23,0.4,1
Ripples,BWF-27,6.65,428,235,40,17,170,80,72,20,0.34,0.4,0.947,25,2.0,1
Al-Zaid,BWF-28,7.55,538,296,40,19,180,60,82,33,0.24,2.1,2.5,81,1.0,1
New Buxton,BWF-29,7.25,720,396,60,15,210,110,82,63,0.13,1.7,1.4,116,1.3,0
Oslo,BWF-30,7.33,527,290,40,15,160,90,80,45,0.34,2.2,0.947,42,2.0,1
Shukran,BWF-31,6.70,416,229,40,17,170,60,82,16,0.32,0.7,0.947,31,0.3,1
Aab-e-Lumhs,BWF-32,6.68,396,218,40,12,150,60,96,21,0.22,3.7,0.947,25.989,0.4,1
More Plus,BWF-33,6.65,672,370,42,23,200,190,48,64,0.10,11.0,1.36,73,4.3,0
Icelay,BWF-34,7.05,778,428,40,32,230,160,120,68,0.23,1.7,1.36,54,2.3,0
AquaFina,BWF-35,6.50,284,156,28,2,80,30,36,20,0.28,1.5,0.947,53,0.5,1
Pure,BWF-36,6.52,764,420,48,17,190,110,75,78,0.70,2.0,2.1,135,3.05,0
Oxidano,BWF-37,6.80,1185,652,40,12,150,50,96,160,0.21,1.6,1.36,32,3,0
Dasani,BWF-38,6.52,312,172,40,2,110,60,14,18,0.18,1.0,0.947,68,2.5,1
Dhoom,BWF-39,6.65,657,361,40,27,210,100,88,48,0.07,1.5,0.947,81,2.5,1
Nestle,BWF-40,6.55,545,300,44,32,240,120,96,16,0.25,0.4,0.947,26,2,1
Refine,BWF-41,6.50,472,260,36,10,130,50,82,44,0.19,1.4,1.1,71,0.3,1
Alkaline,BWF-42,6.90,476,262,44,15,170,60,55,23,0.35,1.2,2.0,71,0.2,1
MAA JEE,BWF-43,7.10,194,107,28,12.378,70,30,36,12,0.27,1.4,1.6,15,0.2,1
Nebraska,BWF-44,7.10,507,279,48,27,230,100,88,11,0.25,0.2,0.7,26,0.3,1
Natural Aqwah,BWF-45,6.55,394,217,40,17,170,120,20,12,0.47,0.9,4.4,21,2.0,1
Wah Water,BWF-46,6.60,409,225,40,19,180,40,82,12,0.26,1.0,4.5,24,2.0,1
Stream,BWF-47,7.20,541,298,60,24,250,100,96,15,0.03,1.3,6.4,32,2.0,1
Aqua Drink,BWF-48,7.02,461,254,40,24,200,60,82,12,0.06,1.1,5.7,26,2.0,1
Aqua Dore,BWF-49,7.22,383,211,32,5,100,50,72,43,0.06,0.2,0.5,41,2.0,1
Oxy Natural,BWF-50,6.88,442,243,40,17,170,60,110,20,0.05,0.0,0.4,25.989,2.0,1
Top Up,BWF-51,7.28,468,257,40,24,200,140,30,13,0.22,1.1,4.9,24,2.0,1
Aquatic Fresh,BWF-52,6.71,570,314,60,27,260,190,30,17,0.02,1.4,6.0,30,0.2,1
Aqua PureSmart,BWF-53,6.70,509,280,40,29,220,90,96,11,0.40,0.0,0.4,27,2.0,1
Aqua Splash,BWF-54,6.60,435,239,40,7,130,100,72,13,0.24,0.6,4.1,15,0.2,1
Himalaya,BWF-55,6.57,512,282,40,15,160,80,96,20,0.13,0.3,0.947,32,0.3,1
Vividle,BWF-56,6.60,336,185,40,7,130,48,70,18,0.23,0.3,0.947,21,0.2,1
Seven Spring,BWF-57,6.60,289,159,40,7,130,80,16,6,0.22,3.6,0.2,39,0.3,1
SUJO,BWF-58,6.66,392,216,40,12,150,70,72,18,0.12,0.3,0.1,23,0.2,1
Jami Water,BWF-59,6.91,456,251,40,17,170,110,72,24,0.14,0.3,0.947,16,0.2,1
Aqua Smile,BWF-60,6.65,433,238,44,19,190,90,72,13,0.18,1.4,0.947,33,0.3,1
Al-Shalal,BWF-61,6.69,346,190,40,10,140,150,14,17,0.08,3.4,0.947,5,0.2,1
New AS,BWF-62,7.28,215,118,12,15,90,50,36,10,0.19,0.7,1.36,10,0.2,0
My SmartWater,BWF-63,7.04,350,193,40,12,150,120,24,14,0.22,3.0,0.947,19,0.2,1
Life Care,BWF-64,6.78,405,223,40,17,170,90,72,15,0.19,2.0,0.947,15,0.2,1
Al-Haram,BWF-65,6.87,563,310,40,24,200,220,24,45,0.70,2.6,1.0,33,0.2,1
Al-Karam,BWF-66,6.58,436,240,40,22,190,80,72,16,0.50,0.4,0.4,28,0.2,1
DYLAN,BWF-67,7.34,366,201,40,12,150,60,82,16,0.00,0.5,0.947,5,0.3,1
Wateria,BWF-68,7.24,503,277,44,22,200,70,82,23,0.23,0.4,2.4,40,3.05,0
NFS,BWF-69,6.55,443,244,40,7,130,100,55,48,0.23,3.4,1.1,29,2.0,1
Pak Aqua,BWF-70,6.56,538,296,40,24,200,80,106,36,0.00,2.4,0.5,33,2.0,1
DYLANNatural,BWF-71,6.54,380,209,42,11,150,60,82,18,0.28,0.5,0.5,6,2.0,1
Water Valley,BWF-72,7.43,493,271,40,12,150,80,96,43,0.00,3.3,0.947,24,2.0,1
Pure Nature,BWF-73,6.91,381,210,42,4,120,130,24,35,0.00,0.5,0.947,24,0.2,1
Nation,BWF-74,7.48,530,292,40,5,120,140,36,59,0.24,1.2,2.3,48,18,0
CHENAB,BWF-75,7.04,494,272,40,24,200,80,85,27,2.20,0.8,2.2,34,0.5,1
Natural,BWF-76,7.83,284,156,40,-2,90,70,45,29,0.11,0.6,2.2,5,0.4,1
Rare Dew Drop,BWF-77,7.79,446,245,40,27,210,80,85,14,0.00,0.6,0.947,31,0.2,1
Life,BWF-78,7.37,447,246,40,19,180,70,96,25,0.00,0.5,0.947,25,0.2,1
Water Next,BWF-79,7.06,382,210,40,10,140,70,60,26,0.04,0.3,0.947,41,0.6,1
Gourmet,BWF-80,7.32,474,261,44,19,190,60,108,26,0.00,0.5,1.0,20,0.4,1
Yes,BWF-81,7.12,464,255,40,10,140,120,65,48,0.10,0.6,0.947,18,2.0,1
Elayn Plus,BWF-82,7.01,690,380,40,36,250,180,82,43,0.12,2.2,0.947,43,2.0,1
National,BWF-83,6.96,425,234,40,15,160,80,65,24,0.14,0.5,0.947,37,0.2,1
Victoria,BWF-84,7.70,528,290,40,32,230,160,76,26,0.00,0.4,0.947,26,2.0,1
