BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
Aqua PureSmart,BWA-34,7.15,365,201,40,15,160,30,80,8,0.09,0.8,0.2,30,2.0,1
Aqua Splash,BWA-35,7.42,309,170,36,7,120,50,64,17,0.20,1.3,3.9,25.989,2.0,1
NaturalAqwah,BWA-36,7.72,280,154,24,12,110,85,12,15,0.00,1.7,3.7,28,2.0,1
MoyaMineral,BWA-37,7.50,356,196,36,12,140,110,26,19,0.00,2.0,4.7,18,2.0,1
Care Life,BWA-38,7.40,272,150,20,5,70,80,31,32,0.13,4.2,0.0,22,14,0
Fresco,BWA-39,7.36,455,250,36,12,140,140,48,49,0.28,2.4,1.4,24,0.3,1
Freshin,BWA-40,7.35,311,171,36,5,110,50,65,19,0.31,0.9,0.0,20,2.0,1
SIP,BWA-41,7.35,298,164,36,2,100,40,62,23,0.10,1.2,0.0,27,0.4,1
ElovinaWater,BWA-42,6.98,248,136,32,7,110,80,36,15,0.12,1.2,1.1,25.989,2.0,1
DrinkIt Pure,BWA-43,7.30,262,144,20,12,100,70,36,17,0.11,1.0,1.7,10,2.0,1
OPAL,BWA-44,6.86,321,177,24,5,80,100,21,41,0.10,1.7,1.7,35,2.0,1
AQUAFINA,BWA-45,6.82,209,115,4,15,70,20,24,16,0.20,1.3,0.0,53,2.0,1
Dasani,BWA-46,6.97,210,116,8,15,80,30,12,9,0.08,0.4,0.0,58,2.0,1
FAIHA,BWA-47,6.5,290,160,20,19,130,50,45,13,0.10,0.7,0.0,46,8,1
Alfalah,BWA-48,7.10,339,186,36,12,140,40,64,11,0.13,0.8,0.0,35,1,1
New Classic,BWA-49,7.75,428,235,32,15,140,70,72,35,0.04,2.0,0.0,40,0.4,1
Nation,BWA-50,7.30,362,199,24,17,130,90,60,30,0.06,0.2,0.0,33,0.6,1
FrescoHealthyWater,BWA-51,7.33,387,213,20,10,90,80,48,48,0.08,2.1,0.2,36,2.0,1
McWayWater,BWA-52,7.15,367,202,28,10,110,60,64,32,0.07,0.4,0.5,26,1,1
ATLANTISWater,BWA-53,6.92,290,160,28,7,100,40,60,24,0.18,0.9,0.2,27,2.0,1
